"TOA5","N1","CR2xx","No_SN","CR200X.Std.02","15min_100times_only.CR2","24549","Data"
"TIMESTAMP","RECORD","Turb_BS_Median","Turb_BS_Mean","Turb_BS_STD","Turb_BS_Min","Turb_BS_Max","Turb_SS_Median","Turb_SS_Mean","Turb_SS_STD","Turb_SS_Min","Turb_SS_Max"
"TS","RN","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2014-02-06 15:45:00",0,"NAN",0,0,0,0,0,0,0,0,0
"2014-02-06 16:00:00",1,0.9089835,1.025746,0.7518476,0.6301838,8.115963,1.106642,1.381319,0.8320792,0.7510492,6.265702
"2014-02-06 16:15:00",2,0.9151936,0.9386694,0.1327859,0.7046632,1.301244,1.169631,1.19751,0.2321741,0.8618635,2.137121
"2014-02-06 16:30:00",3,0.794112,0.8181294,0.1272706,0.6239777,1.469949,0.992984,1.178123,0.7631441,0.7157559,6.666956
"2014-02-06 16:45:00",4,0.8288241,1.011356,0.438166,0.6998668,3.027836,1.149043,1.287697,0.5385587,0.8158144,4.32303
"2014-02-06 17:00:00",5,0.8635392,1.31967,1.75951,0.6674218,10.52326,1.175469,1.388424,0.6631215,0.8234889,4.786958
"2014-02-06 17:15:00",6,0.863257,1.257072,1.089296,0.6070526,5.899539,1.153345,1.238828,0.4479866,0.7697715,3.92693
"2014-02-06 17:30:00",7,0.806529,0.9457966,0.5501363,0.6716537,4.262051,1.161948,1.213608,0.2451376,0.9048483,2.328542
"2014-02-06 17:45:00",8,0.7766158,0.7984743,0.0972902,0.6544446,1.159718,1.187454,1.332573,0.5523279,0.8495832,4.461368
"2014-02-06 18:00:00",9,0.8240265,0.8627974,0.132018,0.6843493,1.367361,1.311629,1.42401,0.4262425,0.8569514,2.816051
"2014-02-06 18:15:00",10,0.9518917,0.9871924,0.1635582,0.8062469,1.729493,1.463836,1.569902,0.4711173,1.021855,4.265663
"2014-02-06 18:30:00",11,0.764764,0.8704599,0.3136799,0.6335689,2.020887,1.098654,1.204076,0.4516949,0.8397592,4.064491
"2014-02-06 18:45:00",12,0.7416255,0.9219639,0.6618941,0.6177719,4.809392,1.209581,1.229152,0.1834348,0.8934875,1.737978
"2014-02-06 19:00:00",13,0.9843579,1.157003,0.5477102,0.8446291,4.168476,1.562575,1.734671,0.6407433,1.141361,4.79938
"2014-02-06 19:15:00",14,0.7715364,0.8640779,0.2846336,0.5985903,2.291803,1.160105,1.207589,0.1781426,0.9447677,1.721972
"2014-02-06 19:30:00",15,0.8672085,0.8996648,0.1691202,0.6758856,1.591503,1.536426,1.795269,0.7454899,1.076841,5.032982
"2014-02-06 19:45:00",16,0.7768981,0.7840544,0.0700663,0.6648828,1.022756,1.449996,1.572143,0.3970861,1.020934,2.893561
"2014-02-06 20:00:00",17,0.7396504,0.7534106,0.0929786,0.593513,1.045909,1.226177,1.282107,0.2579745,0.9358622,1.9301
"2014-02-06 20:15:00",18,0.8635392,0.9024718,0.1925558,0.6727822,2.057678,1.330997,1.392316,0.3177133,0.9441534,3.185227
"2014-02-06 20:30:00",19,0.7706899,0.7914338,0.0697414,0.7009953,1.124696,1.339298,1.389259,0.2747782,1.042436,3.01372
"2014-02-06 20:45:00",20,0.794112,0.8134804,0.089025,0.6733464,1.142772,1.334071,1.438959,0.4011367,0.992984,3.852595
