,Man_n,Q(m3/s),area(m2),r,stage(m),vel(m/s),wp(m)
2014-10-03 04:00:00,0.067,0.162,0.8980273936800001,0.19489962482212972,0.3,0.18089957318810468,4.6076404431232865
2013-04-13 20:15:00,0.067,0.173,0.9348670456800001,0.20146891356231328,0.31,0.18494200847505213,4.640254564091103
2013-04-05 18:00:00,0.067,0.184,0.9717066976800002,0.20793289220058536,0.32,0.1888769682256764,4.6731745391327015
2013-03-30 07:15:00,0.067,0.194,1.0085463496800002,0.21429321613745542,0.33,0.19270921782262798,4.706384867699602
2013-03-03 19:30:00,0.067,0.207,1.0483730416800003,0.22180917686616838,0.34,0.19718924018187536,4.726463785186628
2013-03-01 15:15:00,0.067,0.219,1.08826069368,0.22928684071176314,0.35,0.2015964872116679,4.74628500397916
2013-03-01 15:30:00,0.067,0.232,1.12814834568,0.2367017117524643,0.36,0.20591965686236963,4.766118239397375
2013-03-14 09:00:00,0.067,0.245,1.16803599768,0.24405457410133724,0.37,0.21016231381265055,4.785962328225014
2013-03-05 05:45:00,0.067,0.259,1.20792364968,0.2513461993621569,0.38,0.21432775841912957,4.805816251629651
2013-03-05 09:15:00,0.067,0.273,1.2478113016800003,0.25857734679595695,0.39,0.21841905481734428,4.825679113587032
2013-03-05 06:00:00,0.067,0.286,1.2876989536800003,0.26574876350119264,0.4,0.22243905520431168,4.845550123036495
2013-03-05 08:15:00,0.067,0.301,1.32758660568,0.27286118460334147,0.41,0.2263904209252925,4.865428579040708
2013-03-05 08:00:00,0.067,0.315,1.3674742576799999,0.27991533345078834,0.42,0.2302756408701148,4.885313858379303
2013-03-05 19:00:00,0.067,0.329,1.40736190968,0.286911921814602,0.43,0.2340970475920136,4.905205405125742
2013-03-05 07:45:00,0.067,0.344,1.4472495616799999,0.2938516500903798,0.44,0.23785683148858394,4.925102721849171
2013-03-05 07:30:00,0.067,0.359,1.48713721368,0.30073520750076993,0.45,0.2415570533257815,4.945005362154655
2013-03-05 06:15:00,0.067,0.374,1.5270248656800003,0.3075632722976046,0.46,0.24519965533867993,4.964912924331288
2013-03-05 06:30:00,0.067,0.39,1.5669125176799998,0.31433651196283047,0.47,0.2487864711044371,4.9848250459217525
2013-03-05 07:00:00,0.067,0.405,1.6068001696799998,0.3210555834076155,0.48,0.2523192343517462,5.0047413990617
2013-03-05 06:45:00,0.067,0.421,1.64668782168,0.32772113316915763,0.49,0.25579958684549325,5.024661686465121
2013-03-05 23:00:00,0.067,0.437,1.6865754736800003,0.33433379760484133,0.5,0.2592290854642956,5.044585637953995
2013-03-05 22:45:00,0.067,0.453,1.7266832751,0.3409336049254463,0.51,0.2626294437587389,5.064573424721751
2013-03-05 19:30:00,0.067,0.47,1.7668345791000002,0.34748924472394427,0.52,0.2659853914879489,5.084573424721752
2013-03-05 22:15:00,0.067,0.487,1.8069858831000003,0.35399351380639577,0.53,0.2692942475711803,5.104573424721751
2013-03-05 22:00:00,0.067,0.503,1.8471371871000004,0.3604470136361241,0.54,0.2725573059721648,5.124573424721752
2013-03-06 12:15:00,0.067,0.52,1.8872884911,0.36685033632347774,0.55,0.27577580088039017,5.144573424721751
2013-03-05 19:45:00,0.067,0.538,1.9274397951000002,0.373204064806929,0.56,0.27895091072377465,5.164573424721752
2013-03-05 20:45:00,0.067,0.555,1.9675910991000003,0.37950877302998137,0.57,0.2820837618297728,5.184573424721751
2013-03-05 20:00:00,0.067,0.573,2.0077424031,0.3857650261139967,0.58,0.28517543177250254,5.204573424721752
2013-03-05 20:15:00,0.067,0.59,2.0478937071,0.3919733805270554,0.59,0.28822695243877927,5.2245734247217515
2013-03-06 10:45:00,0.067,0.608,2.0880450111,0.3981343842489497,0.6,0.2912393128419067,5.244573424721752
2013-03-06 15:30:00,0.067,0.626,2.1281963151000003,0.40424857693241917,0.61,0.29421346170860746,5.2645734247217515
2013-03-06 10:30:00,0.067,0.644,2.1683476191,0.4103164900607223,0.62,0.297150309861479,5.284573424721752
2013-03-06 15:15:00,0.067,0.663,2.2084989230999996,0.4163386471016461,0.63,0.3000507324167689,5.3045734247217515
2013-03-06 10:00:00,0.067,0.681,2.2486502271,0.42231556365804246,0.64,0.30291557081501563,5.324573424721752
2013-03-06 10:15:00,0.067,0.7,2.2888015311000003,0.4282477476149857,0.65,0.3057456347001424,5.344573424721752
2013-04-16 14:45:00,0.067,0.719,2.3289528351000004,0.4341356992836383,0.66,0.30854170366088285,5.364573424721752
2013-03-06 14:45:00,0.067,0.738,2.3691041391,0.4399799115419108,0.67,0.3113045288469241,5.384573424721752
2013-04-16 14:00:00,0.067,0.757,2.4092554431000006,0.4457808699719975,0.68,0.31403483447084046,5.404573424721752
2013-03-11 03:45:00,0.067,0.776,2.4494067471,0.45153905299487024,0.69,0.316733319205741,5.424573424721752
2013-03-07 19:30:00,0.067,0.795,2.4895580510999995,0.4572549320018088,0.7,0.31940065748753815,5.444573424721751
2013-03-06 14:30:00,0.067,0.815,2.5297093550999996,0.462928971483041,0.71,0.322037500729847,5.464573424721752
2013-03-06 14:00:00,0.067,0.834,2.5698606590999997,0.4685616291535702,0.72,0.3246444784587359,5.484573424721751
2013-04-28 21:30:00,0.067,0.854,2.6100119631,0.474153356076258,0.73,0.3272221993738402,5.504573424721752
2013-04-23 14:30:00,0.067,0.874,2.6501632670999995,0.47970459678223515,0.74,0.3297712523417323,5.524573424721751
2013-04-16 13:45:00,0.067,0.894,2.6903145711,0.48521578938870497,0.75,0.33229220732688036,5.544573424721752
2013-03-11 03:30:00,0.067,0.914,2.7304658751,0.4906873657142072,0.76,0.33478561626503384,5.564573424721751
2013-08-16 10:45:00,0.067,0.934,2.7706171791000003,0.4961197513914046,0.77,0.3372520138834327,5.584573424721752
2013-03-06 14:15:00,0.067,0.955,2.8107684831,0.5015133659774553,0.78,0.3396919184718377,5.604573424721751
2013-03-11 03:15:00,0.067,0.975,2.8509197871,0.5068686230620298,0.79,0.3421058326080253,5.624573424721752
2013-04-23 16:15:00,0.067,0.996,2.8910710911,0.5121859303730317,0.8,0.34449424384107113,5.644573424721751
2013-06-05 15:00:00,0.067,1.017,2.9312223951000003,0.5174656898800785,0.81,0.34685762533546005,5.664573424721752
2013-04-28 10:45:00,0.067,1.038,2.9713736991,0.5227082978957991,0.82,0.3491964364787995,5.684573424721751
2013-04-23 16:00:00,0.067,1.059,3.0115250031,0.527914145174999,0.83,0.35151112345568275,5.704573424721752
2013-06-05 11:30:00,0.067,1.08,3.0516763070999997,0.5330836170117478,0.84,0.35380211979003534,5.7245734247217515
2013-06-05 14:30:00,0.067,1.101,3.0918276111000003,0.5382170933344381,0.85,0.3560698468580887,5.744573424721752
2013-04-23 15:00:00,0.067,1.122,3.1319789151,0.5433149487988657,0.86,0.3583147143739508,5.7645734247217515
2013-04-30 23:00:00,0.067,1.144,3.1721302191,0.5483775528793785,0.87,0.3605371208495899,5.784573424721752
2013-06-05 14:15:00,0.067,1.165,3.2122815231,0.5534052699581424,0.88,0.3627374540309001,5.8045734247217515
2014-03-06 21:00:00,0.067,1.187,3.2524328271,0.558398459412566,0.89,0.36491609131139263,5.824573424721752
2013-04-23 15:45:00,0.067,1.209,3.2925841311000004,0.5633574757009325,0.9,0.3670734001249361,5.844573424721752
2013-06-05 09:00:00,0.067,1.23,3.3327354351000005,0.5682826684462773,0.91,0.369209738318862,5.864573424721752
2013-08-16 14:30:00,0.067,1.252,3.3728867391000006,0.573174382518557,0.92,0.3713254545086541,5.884573424721752
2013-04-23 14:45:00,0.067,1.274,3.4130380431000003,0.5780329581151473,0.93,0.3734208884153489,5.904573424721752
2014-01-25 00:30:00,0.067,1.297,3.4531893470999995,0.5828587308397108,0.94,0.37549637118669477,5.924573424721752
2013-04-30 22:45:00,0.067,1.341,3.5334919550999997,0.5924131875809439,0.96,0.37958876686884946,5.964573424721752
2013-04-23 15:15:00,0.067,1.364,3.5736432591,0.5971425205241181,0.97,0.38160630189069555,5.984573424721751
2013-04-30 22:30:00,0.067,1.386,3.6137945631,0.6018403485951979,0.98,0.38360513054249223,6.004573424721752
2013-08-16 14:00:00,0.067,1.409,3.6539458671,0.606506985557863,0.99,0.38558554541871026,6.024573424721751
2013-06-05 13:45:00,0.067,1.432,3.6940971710999992,0.6111427410231266,1.0,0.38754783217624333,6.044573424721752
2014-11-22 21:15:00,0.067,1.454,3.7342484751000002,0.6157479205178114,1.01,0.38949226976556217,6.064573424721751
2013-04-23 15:30:00,0.067,1.477,3.7743997791000004,0.6203228255516703,1.02,0.39141913065174166,6.084573424721752
2013-06-05 13:00:00,0.067,1.523,3.8547023871,0.6293829985841217,1.04,0.3952211810076825,6.124573424721752
2013-08-16 13:45:00,0.067,1.593,3.9751562991000005,0.6427535136392767,1.07,0.400798892735179,6.184573424721751
2013-08-16 13:15:00,0.067,1.664,4.0956102111,0.6558670917193186,1.1,0.40623197152787904,6.244573424721752
2013-06-05 09:15:00,0.067,1.711,4.175912819100001,0.6644703684538283,1.12,0.40977672380239455,6.284573424721752
2013-08-16 13:30:00,0.067,1.759,4.2562154271,0.6729648217005642,1.14,0.41326165941893533,6.324573424721751
2013-06-05 13:15:00,0.067,1.855,4.416820643099999,0.6896354136640864,1.18,0.4200586285394545,6.404573424721751
