,Man_n,Q(m3/s),area(m2),r,stage(m),vel(m/s),wp(m)
2014-03-06 23:15:00,0.067,0.0,0.006095999999999999,0.0049993273913440245,0.01,0.015733955795759473,1.2193640309604017
2014-03-07 01:45:00,0.067,0.0,0.012191999999999998,0.009994622385714323,0.02,0.024969382390906292,1.219855991500636
2014-03-07 03:30:00,0.067,0.001,0.02179319999999993,0.01020816995013089,0.03,0.02532379570625075,2.1348782501138213
2014-03-07 04:45:00,0.067,0.001,0.03928109999999996,0.016098921128448348,0.04,0.03431057965578674,2.4399833806618547
2014-05-09 08:30:00,0.067,0.003,0.057569099999999956,0.023587784599261342,0.05,0.044261042847545444,2.4406319193623105
2014-03-25 21:15:00,0.067,0.004,0.08567165999999998,0.025533151236626465,0.06,0.04666233692912555,3.3553108743235267
2014-03-19 13:15:00,0.067,0.006,0.11467338000000002,0.03132468024503644,0.07,0.05347547338449621,3.660799698607318
2014-03-18 14:00:00,0.067,0.009,0.14899385999999998,0.034886581437229995,0.08,0.05745605672831587,4.270807108689585
2014-03-18 14:30:00,0.067,0.013,0.18709385999999995,0.04380104080880291,0.09,0.06686822991885358,4.271447813687541
2014-03-21 22:00:00,0.067,0.017,0.22519386,0.05270678383740365,0.1,0.07564981745528832,4.272578283180883
2014-03-13 09:00:00,0.067,0.022,0.26329385999999994,0.061600797270213066,0.11,0.08393719053535452,4.2741956544012965
2013-04-07 23:30:00,0.067,0.028,0.30139385999999996,0.07048012190101628,0.12,0.09182084909222063,4.276295952258477
2013-04-01 12:45:00,0.067,0.034,0.33949386000000004,0.079341866203151,0.13,0.09936462876798918,4.278874146100149
2013-03-29 13:45:00,0.067,0.04,0.37759386,0.08818321872730434,0.14,0.106615620278781,4.281924219251535
2013-03-28 12:00:00,0.067,0.047,0.41569385999999997,0.09700145909018638,0.15,0.11360977979951191,4.2854392490479105
2013-03-04 11:45:00,0.067,0.055,0.45379386,0.10579396743423872,0.16,0.1203753259785904,4.289411494866918
2013-03-04 15:45:00,0.067,0.062,0.49189386,0.11455823229317807,0.17,0.12693490895047935,4.293832491593816
2013-03-15 11:30:00,0.067,0.071,0.5299938599999999,0.12329185685018541,0.18,0.13330705547272537,4.2986931460040125
2013-03-05 11:45:00,0.067,0.079,0.56809386,0.13199256362235254,0.19,0.13950716591819526,4.303983833705878
2013-03-05 06:00:00,0.067,0.088,0.6061938600000001,0.14065819764472476,0.2,0.14554822235462875,4.309694494530122
2013-03-05 06:15:00,0.067,0.09,0.6484391399999999,0.13168869934974997,0.21,0.13929297443127595,4.92403025621675
2013-03-05 09:00:00,0.067,0.101,0.6926351399999999,0.14053604966005495,0.22,0.14546394715672306,4.928522906936881
2013-03-05 08:30:00,0.067,0.107,0.7374712200000002,0.14078823116202835,0.23,0.14563791132032655,5.238159567125109
2013-03-05 08:15:00,0.067,0.119,0.78623922,0.14995599301225984,0.24,0.15189358233251685,5.2431330299397905
2013-03-05 06:30:00,0.067,0.132,0.83500722,0.1590898358498769,0.25,0.1580005126014256,5.248652219290388
2013-03-06 02:15:00,0.067,0.145,0.88377522,0.16818736671841866,0.26,0.16396800806383968,5.254706326900446
2013-03-05 07:45:00,0.067,0.158,0.9325432200000002,0.17724632961028908,0.27,0.16980417882450005,5.2612836725611185
2013-03-05 07:30:00,0.067,0.172,0.98131122,0.18626461073952796,0.28,0.17551615899838463,5.268371786266279
2013-03-05 06:45:00,0.067,0.187,1.03007922,0.19524024226786374,0.29,0.18111027862797918,5.275957497464904
2013-03-05 07:00:00,0.067,0.201,1.0788472199999999,0.2041714044775877,0.3,0.18659219959362083,5.284027029938108
2013-03-05 23:45:00,0.067,0.216,1.1276152199999998,0.21305642642455191,0.31,0.19196702406319546,5.2925661005551214
2013-03-05 23:15:00,0.067,0.232,1.17638322,0.22189378514241842,0.32,0.1972393817238306,5.3015600200111965
2013-03-05 23:00:00,0.067,0.248,1.2251512199999999,0.23068210350290705,0.33,0.2024135004334401,5.310993793606363
2013-03-06 19:30:00,0.067,0.264,1.27391922,0.2394201468644131,0.34,0.20749326379147137,5.320852220182782
2013-03-05 22:45:00,0.067,0.281,1.3226872199999997,0.24810681866185502,0.35,0.21248225830638778,5.331119987486886
2013-03-05 19:45:00,0.067,0.298,1.3714552199999999,0.2567411551034884,0.36,0.21738381223426656,5.341781762441583
2013-03-05 22:15:00,0.067,0.316,1.42022322,0.26532231914581156,0.37,0.2222010277131112,5.352822275081564
2013-03-05 22:00:00,0.067,0.333,1.4689912199999997,0.27384959391625824,0.38,0.22693680747697767,5.3642263951985605
2013-03-06 12:00:00,0.067,0.352,1.51775922,0.2823223757461052,0.39,0.23159387717257085,5.375979201042616
2013-03-05 20:00:00,0.067,0.37,1.56652722,0.29074016696417404,0.4,0.23617480409767402,5.388066039712472
2013-03-05 20:45:00,0.067,0.389,1.6152952199999997,0.2991025685867535,0.41,0.24068201302090234,5.400472579129623
2013-03-05 20:15:00,0.067,0.408,1.6640632199999998,0.30740927302197646,0.42,0.24511779961537183,5.41318485171733
2013-03-05 20:30:00,0.067,0.427,1.71283122,0.31566005688877835,0.43,0.24948434193737473,5.426189290092886
2013-03-06 11:00:00,0.067,0.447,1.7615992199999997,0.3238547740324923,0.44,0.2537837102995048,5.4394727552271895
2013-03-07 20:15:00,0.067,0.467,1.8103672199999998,0.3319933488018298,0.45,0.25801787582172164,5.453022557631498
2013-03-06 10:45:00,0.067,0.487,1.85913522,0.34007576963600106,0.46,0.2621887178904326,5.466826472200355
2013-03-06 15:30:00,0.067,0.508,1.9079032199999997,0.34810208299639206,0.47,0.2662980307123555,5.480872747376735
2013-03-08 02:15:00,0.067,0.529,1.9566712199999996,0.3560723876647048,0.48,0.27034752911478493,5.495150109315685
2013-03-16 13:15:00,0.067,0.55,2.00543922,0.36398682941885635,0.49,0.2743388537153815,5.509647761711315
2013-03-06 10:30:00,0.067,0.572,2.05420722,0.3718455960891589,0.5,0.2782735755615203,5.524355381924314
2013-03-23 11:30:00,0.067,0.593,2.10297522,0.37964891299025116,0.51,0.2821532003205401,5.539263114007655
2013-03-06 15:00:00,0.067,0.615,2.1517432199999997,0.3873970387187649,0.52,0.2859791720871415,5.554361559180841
2013-03-06 10:15:00,0.067,0.638,2.20051122,0.3950902613025971,0.53,0.2897528768619933,5.569641764251543
